Nom,age,nationnalité,Position,res Position,valeur marchande,venant de 1,venant de 2,montant de la transaction,team_acheteur,team vendeur
Doğan AlemdarD. Alemdar,20,Turquie,Gardien de but,GdB,"3,50 mio. €",ESTAC Troyes,France,Prêt,,Stade Rennais FC
Alan Do MarcolinoA. Do Marcolino,21,Gabon,Avant-centre,AC,200 K €,Quevilly - Rouen Métropole,France,Prêt,,Stade Rennais FC
Alfred GomisA. Gomis,29,Sénégal,Gardien de but,GdB,"2,00 mio. €",FC Lorient,France,Prêt,,Stade Rennais FC
Matthis AblineM. Abline,20,France,Avant-centre,AC,"4,50 mio. €",FC Nantes,France,Prêt,,Stade Rennais FC
Elias DamergyE. Damergy,20,Tunisie,Gardien de but,GdB,150 K €,Sans club,   Sans club,-,,Stade Rennais FC
XekaXeka,28,Portugal,Milieu central,MC,"5,00 mio. €",Sans club,   Sans club,-,,Stade Rennais FC
Joe RodonJoe Rodon,25,Pays de Galles,Défenseur central,DC,"5,00 mio. €",Tottenham Hotspur,Angleterre,Fin du prêt30 juin 2023,,Stade Rennais FC
Karl Toko EkambiK. Toko Ekambi,30,Cameroun,Avant-centre,AC,"5,00 mio. €",Olympique Lyonnais,France,Fin du prêt30 juin 2023,,Stade Rennais FC
Djed SpenceD. Spence,22,Angleterre,Arrière droit,ArD,"8,00 mio. €",Tottenham Hotspur,Angleterre,Fin du prêt30 juin 2023,,Stade Rennais FC
Hákon Arnar HaraldssonH. Haraldsson,20,Islande,Ailier gauche,AiG,"10,00 mio. €",FC Copenhague,Danemark,"15,00 mio. €",LOSC Lille,
Tiago SantosT. Santos,20,Portugal,Arrière droit,ArD,"5,00 mio. €",GD Estoril Praia,Portugal,"6,50 mio. €",LOSC Lille,
Nabil BentalebN. Bentaleb,28,Algérie,Milieu central,MC,"7,00 mio. €",Angers SCO,France,"4,50 mio. €",LOSC Lille,
Ignacio MiramónI. Miramón,20,Argentine,Milieu défensif,MDC,"4,00 mio. €",Club de Gimnasia y Esgrima La Plata,Argentine,"4,00 mio. €",LOSC Lille,
Vito MannoneV. Mannone,35,Italie,Gardien de but,GdB,300 K €,FC Lorient,France,200 K €,LOSC Lille,
Samuel UmtitiS. Umtiti,29,France,Défenseur central,DC,"4,00 mio. €",FC Barcelone,Espagne,Tr. libre,LOSC Lille,
Ivan CavaleiroI. Cavaleiro,29,Angola,Ailier gauche,AiG,"2,50 mio. €",FC Fulham,Angleterre,Tr. libre,LOSC Lille,
Ugo RaghouberU. Raghouber,19,France,Milieu défensif,MDC,250 K €,LOSC Lille B,France,-,LOSC Lille,
Akim ZedadkaA. Zedadka,28,Algérie,Arrière droit,ArD,"2,50 mio. €",AJ Auxerre,France,Fin du prêt30 juin 2023,LOSC Lille,
Yusuf YazıcıY. Yazıcı,26,Turquie,Milieu offensif,MO,"9,00 mio. €",Trabzonspor,Turquie,Fin du prêt30 juin 2023,LOSC Lille,
Carlos BalebaC. Baleba,19,Cameroun,Milieu défensif,MDC,"20,00 mio. €",Brighton & Hove Albion,Angleterre,"27,00 mio. €",,LOSC Lille
Timothy WeahT. Weah,23,États-Unis,Milieu droit,MD,"14,00 mio. €",Juventus Turin,Italie,"11,30 mio. €",,LOSC Lille
José FonteJ. Fonte,39,Portugal,Défenseur central,DC,600 K €,SC Braga,Portugal,Tr. libre,,LOSC Lille
Jonathan BambaJ. Bamba,27,Côte d'Ivoire,Ailier gauche,AiG,"20,00 mio. €",Celta Vigo,Espagne,Tr. libre,,LOSC Lille
Jonas MartinJ. Martin,33,France,Milieu défensif,MDC,"1,50 mio. €",Stade Brestois 29,France,Tr. libre,,LOSC Lille
Benoît CostilB. Costil,36,France,Gardien de but,GdB,"1,00 mio. €",US Salernitana 1919,Italie,Tr. libre,,LOSC Lille
Ugo RaghouberU. Raghouber,20,France,Milieu défensif,MDC,250 K €,Le Mans FC,France,Prêt,,LOSC Lille
Mohamed BayoM. Bayo,25,Guinée,Avant-centre,AC,"6,00 mio. €",Le Havre AC,France,Prêt,,LOSC Lille
André GomesA. Gomes,29,Portugal,Milieu central,MC,"16,00 mio. €",FC Everton,Angleterre,Fin du prêt30 juin 2023,,LOSC Lille
Clinton MataC. Mata,30,Angola,Arrière droit,ArD,"4,50 mio. €",Club Brugge KV,Belgique,"5,00 mio. €",Olympique Lyonnais,
Skelly AlveroS. Alvero,21,France,Milieu central,MC,"4,00 mio. €",FC Sochaux-Montbéliard,France,"4,00 mio. €",Olympique Lyonnais,
Paul AkouokouP. Akouokou,25,Côte d'Ivoire,Milieu défensif,MDC,"3,50 mio. €",Real Betis Balompié,Espagne,"3,00 mio. €",Olympique Lyonnais,
Diego MoreiraD. Moreira,19,Portugal,Ailier gauche,AiG,"3,00 mio. €",Chelsea FC,Angleterre,"Montant du prêt:2,80 mio. €",Olympique Lyonnais,
Mama BaldéM. Baldé,27,Guinée-Bissau,Avant-centre,AC,"8,00 mio. €",ESTAC Troyes,France,"Montant du prêt:2,00 mio. €",Olympique Lyonnais,
Duje Caleta-CarD. Caleta-Car,26,Croatie,Défenseur central,DC,"9,00 mio. €",FC Southampton,Angleterre,"Montant du prêt:1,54 mio. €",Olympique Lyonnais,
Jake O'BrienJ. O'Brien,22,Irlande,Défenseur central,DC,"1,50 mio. €",Crystal Palace U21,Angleterre,"1,00 mio. €",Olympique Lyonnais,
Ainsley Maitland-NilesA. Maitland-Niles,25,Angleterre,Milieu central,MC,"6,00 mio. €",Arsenal FC,Angleterre,Tr. libre,Olympique Lyonnais,
Mahamadou DiawaraM. Diawara,18,France,Milieu central,MC,"1,00 mio. €",Paris Saint-Germain U19,France,Tr. libre,Olympique Lyonnais,
Ernest NuamahE. Nuamah,19,Ghana,Ailier droit,AiD,"20,00 mio. €",RWD Molenbeek,Belgique,Prêt,Olympique Lyonnais,
Justin Bengui JoaoJ. Bengui Joao,18,France,Gardien de but,GdB,-,Olympique Lyon B,France,-,Olympique Lyonnais,
Mathieu PatouilletM. Patouillet,19,France,Gardien de but,GdB,-,Olympique Lyon B,France,-,Olympique Lyonnais,
Mamadou SarrM. Sarr,17,France,Défenseur central,DC,"1,00 mio. €",Olympique Lyon B,France,-,Olympique Lyonnais,
Irvyn LomamiI. Lomami,19,France,Arrière droit,ArD,200 K €,Olympique Lyon B,France,-,Olympique Lyonnais,
Achraf LaâziriA. Laâziri,19,Maroc,Arrière gauche,ArG,250 K €,Olympique Lyon B,France,-,Olympique Lyonnais,
Abdoulaye NdiayeA. Ndiaye,21,Sénégal,Défenseur central,DC,"3,00 mio. €",SC Bastia,France,Fin du prêt30 juin 2023,Olympique Lyonnais,
Habib KeïtaH. Keïta,21,Mali,Milieu central,MC,800 K €,KV Kortrijk,Belgique,Fin du prêt30 juin 2023,Olympique Lyonnais,
Yahya SoumaréY. Soumaré,23,France,Ailier droit,AiD,250 K €,Football Bourg-en-Bresse Péronnas 01,France,Fin du prêt30 juin 2023,Olympique Lyonnais,
Cenk ÖzkacarC. Özkacar,22,Turquie,Défenseur central,DC,"5,00 mio. €",FC Valencia,Espagne,Fin du prêt30 juin 2023,Olympique Lyonnais,
Tino KadewereT. Kadewere,27,Zimbabwe,Avant-centre,AC,"3,00 mio. €",RCD Mallorca,Espagne,Fin du prêt30 juin 2023,Olympique Lyonnais,
Youssouf KonéY. Koné,27,Mali,Arrière gauche,ArG,"1,50 mio. €",AC Ajaccio,France,Fin du prêt30 juin 2023,Olympique Lyonnais,
Florent SanchezF. Sanchez,20,France,Milieu central,MC,700 K €,FC Volendam,Pays-Bas,Fin du prêt30 juin 2023,Olympique Lyonnais,
Karl Toko EkambiK. Toko Ekambi,30,Cameroun,Avant-centre,AC,"5,00 mio. €",Stade Rennais FC,France,Fin du prêt30 juin 2023,Olympique Lyonnais,
Romain FaivreR. Faivre,24,France,Milieu droit,MD,"15,00 mio. €",FC Lorient,France,Fin du prêt30 juin 2023,Olympique Lyonnais,
CamiloCamilo,24,Brésil,Milieu défensif,MDC,"1,00 mio. €",RWD Molenbeek,Belgique,Fin du prêt30 juin 2023,Olympique Lyonnais,
TetêTetê,23,Brésil,Ailier droit,AiD,"24,00 mio. €",Leicester City,Angleterre,Fin du prêt29 juin 2023,Olympique Lyonnais,
Jeff Reine-AdélaïdeJ. Reine-Adélaïde,25,France,Milieu offensif,MO,"3,50 mio. €",ESTAC Troyes,France,Fin du prêt30 juin 2023,Olympique Lyonnais,
Julian PollersbeckJ. Pollersbeck,28,Allemagne,Gardien de but,GdB,500 K €,FC Lorient,France,Fin du prêt30 juin 2023,Olympique Lyonnais,
Bradley BarcolaB. Barcola,20,France,Ailier droit,AiD,"35,00 mio. €",Paris Saint-Germain,France,"45,00 mio. €",,Olympique Lyonnais
Castello LukebaC. Lukeba,20,France,Défenseur central,DC,"35,00 mio. €",RasenBallsport Leipzig,Allemagne,"30,00 mio. €",,Olympique Lyonnais
Romain FaivreR. Faivre,24,France,Milieu droit,MD,"15,00 mio. €",AFC Bournemouth,Angleterre,"15,00 mio. €",,Olympique Lyonnais
Cenk ÖzkacarC. Özkacar,22,Turquie,Défenseur central,DC,"5,00 mio. €",FC Valencia,Espagne,"5,00 mio. €",,Olympique Lyonnais
Thiago MendesT. Mendes,31,Brésil,Milieu défensif,MDC,"5,00 mio. €",Al-Rayyan SC,Qatar,"4,21 mio. €",,Olympique Lyonnais
Abdoulaye NdiayeA. Ndiaye,21,Sénégal,Défenseur central,DC,"3,00 mio. €",ESTAC Troyes,France,"3,50 mio. €",,Olympique Lyonnais
Karl Toko EkambiK. Toko Ekambi,30,Cameroun,Avant-centre,AC,"5,00 mio. €",Abha Club,Arabie Saoudite,"1,50 mio. €",,Olympique Lyonnais
Habib KeïtaH. Keïta,21,Mali,Milieu central,MC,800 K €,Clermont Foot 63,France,"1,20 mio. €",,Olympique Lyonnais
Amin SarrAmin Sarr,22,Suède,Avant-centre,AC,"8,00 mio. €",VfL Wolfsburg,Allemagne,"Montant du prêt:1,00 mio. €",,Olympique Lyonnais
CamiloCamilo,24,Brésil,Milieu défensif,MDC,"1,00 mio. €",Akhmat Grozny,Russie,800 K €,,Olympique Lyonnais
Kayne BonnevieK. Bonnevie,21,France,Gardien de but,GdB,200 K €,Quevilly - Rouen Métropole,France,Tr. libre,,Olympique Lyonnais
Yahya SoumaréY. Soumaré,23,France,Ailier droit,AiD,250 K €,US Orléans,France,Tr. libre,,Olympique Lyonnais
Julian PollersbeckJ. Pollersbeck,28,Allemagne,Gardien de but,GdB,500 K €,1.FC Magdeburg,Allemagne,Tr. libre,,Olympique Lyonnais
Houssem AouarH. Aouar,25,Algérie,Milieu central,MC,"13,00 mio. €",AS Roma,Italie,Tr. libre,,Olympique Lyonnais
Moussa DembéléM. Dembélé,27,France,Avant-centre,AC,"12,00 mio. €",Al-Ettifaq FC,Arabie Saoudite,Tr. libre,,Olympique Lyonnais
Youssouf KonéY. Koné,28,Mali,Arrière gauche,ArG,"1,50 mio. €",RWD Molenbeek,Belgique,Tr. libre,,Olympique Lyonnais
Jeff Reine-AdélaïdeJ. Reine-Adélaïde,25,France,Milieu offensif,MO,"3,50 mio. €",RWD Molenbeek,Belgique,Tr. libre,,Olympique Lyonnais
Mathieu PatouilletM. Patouillet,19,France,Gardien de but,GdB,-,FC Sochaux-Montbéliard,France,Prêt,,Olympique Lyonnais
Irvyn LomamiI. Lomami,19,France,Arrière droit,ArD,200 K €,Stade Lavallois,France,Prêt,,Olympique Lyonnais
Achraf LaâziriA. Laâziri,20,Maroc,Arrière gauche,ArG,250 K €,USL Dunkerque,France,Prêt,,Olympique Lyonnais
Florent SanchezF. Sanchez,20,France,Milieu central,MC,700 K €,RWD Molenbeek,Belgique,Prêt,,Olympique Lyonnais
Jérôme BoatengJ. Boateng,34,Allemagne,Défenseur central,DC,500 K €,Sans club,   Sans club,-,,Olympique Lyonnais
Malo GustoM. Gusto,20,France,Arrière droit,ArD,"25,00 mio. €",Chelsea FC,Angleterre,Fin du prêt30 juin 2023,,Olympique Lyonnais
TetêTetê,23,Brésil,Ailier droit,AiD,"24,00 mio. €",Shakhtar Donetsk,Ukraine,Fin du prêt30 juin 2023,,Olympique Lyonnais
Maximiliano CaufriezM. Caufriez,26,Belgique,Défenseur central,DC,"3,00 mio. €",Spartak Moscou,Russie,"3,50 mio. €",Clermont Foot 63,
Andy PelmardA. Pelmard,23,France,Défenseur central,DC,"4,00 mio. €",FC Bâle 1893,Suisse,"1,90 mio. €",Clermont Foot 63,
Habib KeïtaH. Keïta,21,Mali,Milieu central,MC,800 K €,Olympique Lyonnais,France,"1,20 mio. €",Clermont Foot 63,
Shamar NicholsonS. Nicholson,26,Jamaïque,Avant-centre,AC,"4,50 mio. €",Spartak Moscou,Russie,Montant du prêt:500 K €,Clermont Foot 63,
Thomas PerchaudT. Perchaud,25,France,Avant-centre,AC,-,Asd Città di Gallipoli,Italie,Tr. libre,Clermont Foot 63,
Bilal BoutobbaB. Boutobba,24,France,Ailier droit,AiD,"2,50 mio. €",Chamois Niortais FC,France,Tr. libre,Clermont Foot 63,
Théo BorneT. Borne,20,France,Gardien de but,GdB,100 K €,Angers SCO,France,Tr. libre,Clermont Foot 63,
Abdoulaye CoulibalyA. Coulibaly,21,France,Ailier gauche,AiG,150 K €,AS Saint-Étienne B,France,Tr. libre,Clermont Foot 63,
Nassim L'GhoulN. L'Ghoul,26,France,Milieu offensif,MO,-,Sporting Club de Toulon,France,Tr. libre,Clermont Foot 63,
Yoël ArmougomY. Armougom,25,France,Arrière gauche,ArG,400 K €,FC Sochaux-Montbéliard,France,?,Clermont Foot 63,
Massamba N'DiayeM. N'Diaye,21,Sénégal,Gardien de but,GdB,500 K €,Pau FC,France,?,Clermont Foot 63,
Cem TürkmenC. Türkmen,21,Turquie,Milieu central,MC,"1,00 mio. €",SC Austria Lustenau,Autriche,Fin du prêt30 juin 2023,Clermont Foot 63,
Charly KeitaC. Keita,24,France,Avant-centre,AC,200 K €,FC Biel-Bienne 1896,Suisse,Fin du prêt30 juin 2023,Clermont Foot 63,
Adama DiakitéA. Diakité,23,France,Ailier gauche,AiG,150 K €,FC Biel-Bienne 1896,Suisse,Fin du prêt30 juin 2023,Clermont Foot 63,
Yuliwes BellacheY. Bellache,20,Algérie,Milieu central,MC,150 K €,SC Austria Lustenau,Autriche,Fin du prêt30 juin 2023,Clermont Foot 63,
Mateusz WieteskaM. Wieteska,26,Pologne,Défenseur central,DC,"4,00 mio. €",Cagliari Calcio,Italie,"5,00 mio. €",,Clermont Foot 63
Charly KeitaC. Keita,24,France,Avant-centre,AC,200 K €,Beerschot V.A.,Belgique,Tr. libre,,Clermont Foot 63
Saîf-Eddine KhaouiS. Khaoui,28,Tunisie,Milieu offensif,MO,"2,00 mio. €",Khor Fakkan SSC,Émirats Arabes Unis,Tr. libre,,Clermont Foot 63
Lucas MargueronL. Margueron,22,France,Gardien de but,GdB,150 K €,RFC Seraing,Belgique,Tr. libre,,Clermont Foot 63
Souleymane CisséS. Cissé,20,France,Défenseur central,DC,100 K €,Dijon FCO,France,Tr. libre,,Clermont Foot 63
Yuliwes BellacheY. Bellache,20,Algérie,Milieu central,MC,150 K €,JS Kabylie,Algérie,Tr. libre,,Clermont Foot 63
Thomas PerchaudT. Perchaud,25,France,Avant-centre,AC,-,FC Biel-Bienne 1896,Suisse,Prêt,,Clermont Foot 63
Abdoulaye CoulibalyA. Coulibaly,21,France,Ailier gauche,AiG,150 K €,FC Biel-Bienne 1896,Suisse,Prêt,,Clermont Foot 63
Cem TürkmenC. Türkmen,21,Turquie,Milieu central,MC,"1,00 mio. €",MKE Ankaragücü,Turquie,?,,Clermont Foot 63
Yanis MassolinY. Massolin,20,France,Milieu central,MC,250 K €,Royal Francs Borains,Belgique,?,,Clermont Foot 63
Adama DiakitéA. Diakité,24,France,Ailier gauche,AiG,150 K €,Trélissac FC,France,Prêt,,Clermont Foot 63
Baïla DialloB. Diallo,22,Sénégal,Arrière gauche,ArG,200 K €,SC Austria Lustenau,Autriche,Prêt,,Clermont Foot 63
Ouparine DjocoO. Djoco,25,Guinée-Bissau,Gardien de but,GdB,500 K €,Royal Francs Borains,Belgique,Prêt,,Clermont Foot 63
Oliver KamdemO. Kamdem,20,France,Arrière droit,ArD,100 K €,Sans club,   Sans club,-,,Clermont Foot 63
Nassim L'GhoulN. L'Ghoul,26,France,Milieu offensif,MO,-,FC Biel-Bienne 1896,Suisse,Prêt,,Clermont Foot 63
Maximiliano CaufriezM. Caufriez,26,Belgique,Défenseur central,DC,"3,00 mio. €",Spartak Moscou,Russie,Fin du prêt30 juin 2023,,Clermont Foot 63
Terem MoffiT. Moffi,24,Nigeria,Avant-centre,AC,"25,00 mio. €",FC Lorient,France,"22,50 mio. €",OGC Nice,
Jérémie BogaJ. Boga,26,Côte d'Ivoire,Ailier gauche,AiG,"14,00 mio. €",Atalanta BC,Italie,"18,00 mio. €",OGC Nice,
Aliou BaldéA. Baldé,20,Sénégal,Ailier gauche,AiG,"1,20 mio. €",FC Lausanne-Sport,Suisse,"2,50 mio. €",OGC Nice,
Amidou DoumbouyaA. Doumbouya,16,France,Défenseur central,DC,500 K €,FC Sochaux-Montbéliard U19,France,500 K €,OGC Nice,
Morgan SansonM. Sanson,28,France,Milieu central,MC,"7,00 mio. €",Aston Villa,Angleterre,Prêt,OGC Nice,
Romain PerraudR. Perraud,25,France,Arrière gauche,ArG,"12,00 mio. €",FC Southampton,Angleterre,Prêt,OGC Nice,
Yannis NahounouY. Nahounou,19,France,Défenseur central,DC,150 K €,OGC Nice B,France,-,OGC Nice,
Salvatore SiriguS. Sirigu,36,Italie,Gardien de but,GdB,500 K €,Sans club,   Sans club,-,OGC Nice,
Ange AhoussouA. Ahoussou,19,Côte d'Ivoire,Défenseur central,DC,500 K €,FC Sochaux-Montbéliard,France,Fin du prêt12 juil. 2023,OGC Nice,
Rareș IlieR. Ilie,20,Roumanie,Ailier gauche,AiG,"3,20 mio. €",Maccabi Tel Aviv,Israël,Fin du prêt30 juin 2023,OGC Nice,
Andy DelortA. Delort,31,Algérie,Avant-centre,AC,"7,00 mio. €",FC Nantes,France,Fin du prêt30 juin 2023,OGC Nice,
Morgan SchneiderlinM. Schneiderlin,33,France,Milieu défensif,MDC,"1,50 mio. €",Western Sydney Wanderers,Australie,Fin du prêt30 juin 2023,OGC Nice,
Robson BambuRobson Bambu,26,Brésil,Défenseur central,DC,"2,50 mio. €",Clube de Regatas Vasco da Gama,Brésil,Fin du prêt31 déc. 2023,OGC Nice,
Kasper DolbergK. Dolberg,25,Danemark,Avant-centre,AC,"7,00 mio. €",TSG 1899 Hoffenheim,Allemagne,Fin du prêt30 juin 2023,OGC Nice,
Alexis Claude-MauriceA. Claude-Maurice,25,France,Milieu offensif,MO,"4,50 mio. €",RC Lens,France,Fin du prêt30 juin 2023,OGC Nice,
Calvin StengsC. Stengs,24,Pays-Bas,Milieu offensif,MO,"10,00 mio. €",Royal Antwerp FC,Belgique,Fin du prêt30 juin 2023,OGC Nice,
Evann GuessandE. Guessand,21,France,Avant-centre,AC,"4,50 mio. €",FC Nantes,France,Fin du prêt30 juin 2023,OGC Nice,
Ange AhoussouA. Ahoussou,19,Côte d'Ivoire,Défenseur central,DC,500 K €,LB Châteauroux,France,Fin du prêt30 juin 2023,OGC Nice,
Jean N'GuessanJ. N'Guessan,20,Côte d'Ivoire,Milieu central,MC,"1,20 mio. €",Nîmes Olympique,France,Fin du prêt30 juin 2023,OGC Nice,
Calvin StengsC. Stengs,24,Pays-Bas,Milieu offensif,MO,"10,00 mio. €",Feyenoord Rotterdam,Pays-Bas,"6,00 mio. €",,OGC Nice
Kasper DolbergK. Dolberg,25,Danemark,Avant-centre,AC,"7,00 mio. €",RSC Anderlecht,Belgique,"5,00 mio. €",,OGC Nice
Andy DelortA. Delort,31,Algérie,Avant-centre,AC,"7,00 mio. €",FC Nantes,France,"5,00 mio. €",,OGC Nice
Ange AhoussouA. Ahoussou,19,Côte d'Ivoire,Défenseur central,DC,500 K €,Pau FC,France,400 K €,,OGC Nice
Kasper SchmeichelK. Schmeichel,36,Danemark,Gardien de but,GdB,"1,50 mio. €",RSC Anderlecht,Belgique,Tr. libre,,OGC Nice
Morgan SchneiderlinM. Schneiderlin,33,France,Milieu défensif,MDC,"1,50 mio. €",Konyaspor,Turquie,Tr. libre,,OGC Nice
Ross BarkleyR. Barkley,29,Angleterre,Milieu central,MC,"4,50 mio. €",Luton Town,Angleterre,Tr. libre,,OGC Nice
Aaron RamseyA. Ramsey,32,Pays de Galles,Milieu central,MC,"2,50 mio. €",Cardiff City,Angleterre,Tr. libre,,OGC Nice
Ange AhoussouA. Ahoussou,19,Côte d'Ivoire,Défenseur central,DC,500 K €,FC Sochaux-Montbéliard,France,Prêt,,OGC Nice
Jean N'GuessanJ. N'Guessan,20,Côte d'Ivoire,Milieu central,MC,"1,20 mio. €",FC Metz,France,?,,OGC Nice
Mattia VitiM. Viti,21,Italie,Défenseur central,DC,"7,00 mio. €",US Sassuolo,Italie,Prêt,,OGC Nice
Rareș IlieR. Ilie,20,Roumanie,Ailier gauche,AiG,"3,20 mio. €",FC Lausanne-Sport,Suisse,Prêt,,OGC Nice
Billal BrahimiB. Brahimi,23,Algérie,Ailier gauche,AiG,"5,00 mio. €",Stade Brestois 29,France,Prêt,,OGC Nice
Terem MoffiT. Moffi,24,Nigeria,Avant-centre,AC,"25,00 mio. €",FC Lorient,France,Fin du prêt30 juin 2023,,OGC Nice
Joe BryanJoe Bryan,29,Angleterre,Arrière gauche,ArG,"2,20 mio. €",FC Fulham,Angleterre,Fin du prêt30 juin 2023,,OGC Nice
Nicolas PépéN. Pépé,28,Côte d'Ivoire,Ailier droit,AiD,"14,00 mio. €",Arsenal FC,Angleterre,Fin du prêt30 juin 2023,,OGC Nice
Isaak TouréI. Touré,20,France,Défenseur central,DC,"8,00 mio. €",Olympique de Marseille,France,"8,00 mio. €",FC Lorient,
Formose MendyF. Mendy,22,Sénégal,Défenseur central,DC,"5,00 mio. €",Amiens SC,France,"7,50 mio. €",FC Lorient,
Aiyegun TosinA. Tosin,25,Bénin,Avant-centre,AC,"4,00 mio. €",FC Zürich,Suisse,"4,00 mio. €",FC Lorient,
Dembo SyllaD. Sylla,20,Guinée,Arrière droit,ArD,600 K €,Stade Lavallois,France,"1,00 mio. €",FC Lorient,
Dominique YoufeiganeD. Youfeigane,23,République Centrafricaine,Gardien de but,GdB,300 K €,EA Guingamp,France,Tr. libre,FC Lorient,
Benjamin MendyB. Mendy,29,France,Arrière gauche,ArG,"3,00 mio. €",Manchester City,Angleterre,Tr. libre,FC Lorient,
Tiemoué BakayokoT. Bakayoko,29,France,Milieu défensif,MDC,"2,50 mio. €",Chelsea FC,Angleterre,Tr. libre,FC Lorient,
Alfred GomisA. Gomis,29,Sénégal,Gardien de but,GdB,"2,00 mio. €",Stade Rennais FC,France,Prêt,FC Lorient,
Romain FaivreR. Faivre,25,France,Milieu droit,MD,"15,00 mio. €",AFC Bournemouth,Angleterre,Prêt,FC Lorient,
Eli Junior KroupiE. Kroupi,17,France,Milieu offensif,MO,"8,00 mio. €",FC Lorient B,France,-,FC Lorient,
Loris MouyokoloL. Mouyokolo,22,France,Défenseur central,DC,500 K €,Rodez AF,France,Fin du prêt30 juin 2023,FC Lorient,
Joel MvukaJ. Mvuka,20,Norvège,Ailier droit,AiD,"4,50 mio. €",FK Bodø/Glimt,Norvège,Fin du prêt30 juin 2023,FC Lorient,
Adrian GrbicA. Grbic,26,Autriche,Avant-centre,AC,"1,50 mio. €",Valenciennes FC,France,Fin du prêt30 juin 2023,FC Lorient,
Terem MoffiT. Moffi,24,Nigeria,Avant-centre,AC,"25,00 mio. €",OGC Nice,France,Fin du prêt30 juin 2023,FC Lorient,
Moritz JenzM. Jenz,24,Allemagne,Défenseur central,DC,"7,50 mio. €",FC Schalke 04,Allemagne,Fin du prêt30 juin 2023,FC Lorient,
Quentin BoisgardQ. Boisgard,26,France,Milieu offensif,MO,"1,00 mio. €",Pau FC,France,Fin du prêt30 juin 2023,FC Lorient,
Sambou SoumanoS. Soumano,22,Sénégal,Avant-centre,AC,800 K €,Rodez AF,France,Fin du prêt30 juin 2023,FC Lorient,
Samuel LoricS. Loric,22,France,Arrière gauche,ArG,500 K €,Quevilly - Rouen Métropole,France,Fin du prêt30 juin 2023,FC Lorient,
Pablo PagisP. Pagis,20,France,Avant-centre,AC,"1,50 mio. €",Nîmes Olympique,France,Fin du prêt30 juin 2023,FC Lorient,
Terem MoffiT. Moffi,24,Nigeria,Avant-centre,AC,"25,00 mio. €",OGC Nice,France,"22,50 mio. €",,FC Lorient
Enzo Le FéeE. Le Fée,23,France,Milieu offensif,MO,"20,00 mio. €",Stade Rennais FC,France,"20,00 mio. €",,FC Lorient
Moritz JenzM. Jenz,24,Allemagne,Défenseur central,DC,"7,50 mio. €",VfL Wolfsburg,Allemagne,"8,00 mio. €",,FC Lorient
Ibrahima KonéI. Koné,24,Mali,Avant-centre,AC,"4,00 mio. €",UD Almería,Espagne,"7,50 mio. €",,FC Lorient
Vito MannoneV. Mannone,35,Italie,Gardien de but,GdB,300 K €,LOSC Lille,France,200 K €,,FC Lorient
Teddy BartoucheT. Bartouche,26,Guadeloupe,Gardien de but,GdB,150 K €,EA Guingamp,France,Tr. libre,,FC Lorient
Samuel LoricS. Loric,23,France,Arrière gauche,ArG,500 K €,Quevilly - Rouen Métropole,France,?,,FC Lorient
Adil AouchicheA. Aouchiche,21,France,Milieu offensif,MO,"2,20 mio. €",AFC Sunderland,Angleterre,?,,FC Lorient
Sambou SoumanoS. Soumano,22,Sénégal,Avant-centre,AC,800 K €,Quevilly - Rouen Métropole,France,Prêt,,FC Lorient
Stéphane DiarraS. Diarra,24,Côte d'Ivoire,Ailier droit,AiD,"2,00 mio. €",AS Saint-Étienne,France,Prêt,,FC Lorient
Yoann CathlineY. Cathline,21,France,Ailier gauche,AiG,"2,00 mio. €",Almere City FC,Pays-Bas,Prêt,,FC Lorient
Bamo MeïtéB. Meïté,21,Côte d'Ivoire,Défenseur central,DC,"4,00 mio. €",Olympique de Marseille,France,Prêt,,FC Lorient
Julian PollersbeckJ. Pollersbeck,28,Allemagne,Gardien de but,GdB,500 K €,Olympique Lyonnais,France,Fin du prêt30 juin 2023,,FC Lorient
Romain FaivreR. Faivre,24,France,Milieu droit,MD,"15,00 mio. €",Olympique Lyonnais,France,Fin du prêt30 juin 2023,,FC Lorient
Joseph OkumuJ. Okumu,26,Kenya,Défenseur central,DC,"9,00 mio. €",KAA La Gantoise,Belgique,"12,00 mio. €",Stade de Reims,
Keito NakamuraK. Nakamura,23,Japon,Ailier gauche,AiG,"12,00 mio. €",LASK,Autriche,"12,00 mio. €",Stade de Reims,
Mohamed DaramyM. Daramy,21,Danemark,Ailier gauche,AiG,"10,00 mio. €",Ajax Amsterdam,Pays-Bas,"12,00 mio. €",Stade de Reims,
Teddy TeumaT. Teuma,29,Malte,Milieu central,MC,"6,00 mio. €",Royale Union Saint-Gilloise,Belgique,"4,60 mio. €",Stade de Reims,
Amine SalamaA. Salama,22,France,Avant-centre,AC,"3,00 mio. €",Angers SCO,France,"4,00 mio. €",Stade de Reims,
Oumar DiakitéO. Diakité,19,Côte d'Ivoire,Avant-centre,AC,"2,50 mio. €",Red Bull Salzbourg,Autriche,"2,50 mio. €",Stade de Reims,
Reda KhadraR. Khadra,22,Allemagne,Milieu offensif,MO,"1,80 mio. €",Brighton & Hove Albion,Angleterre,"1,90 mio. €",Stade de Reims,
Ludovic ButelleL. Butelle,40,France,Gardien de but,GdB,100 K €,Red Star FC,France,Tr. libre,Stade de Reims,
Adama BojangA. Bojang,19,Gambie,Avant-centre,AC,500 K €,Steve Biko FC,Gambie,?,Stade de Reims,
